dataset,dataset_label,family,model,class_id,class_label,precision,recall,f1_score,support
unsw_nb15,UNSW-NB15,ML,Random Forest,3,Exploits,0.7638640429338104,0.8416557161629435,0.8008752735229759,1522.0
unsw_nb15,UNSW-NB15,ML,Random Forest,4,Fuzzers,0.871866295264624,0.6466942148760331,0.7425860023724793,968.0
unsw_nb15,UNSW-NB15,ML,Random Forest,5,Generic,0.973724884080371,0.8618331053351573,0.9143686502177069,731.0
unsw_nb15,UNSW-NB15,ML,Random Forest,6,Normal,0.947995514437903,0.9885981581640111,0.9678711985688729,6841.0
unsw_nb15,UNSW-NB15,ML,Random Forest,7,Reconnaissance,0.8230277185501066,0.7134935304990758,0.7643564356435644,541.0
unsw_nb15,UNSW-NB15,ML,Random Forest,8,Shellcode,0.5087719298245614,0.3815789473684211,0.43609022556390975,76.0
unsw_nb15,UNSW-NB15,ML,Random Forest,9,Worms,0.0,0.0,0.0,9.0
unsw_nb15,UNSW-NB15,ML,XGBoost,0,Analysis,0.06338028169014084,0.10112359550561797,0.07792207792207792,89.0
unsw_nb15,UNSW-NB15,ML,XGBoost,1,Backdoor,0.00909090909090909,0.014492753623188406,0.0111731843575419,69.0
unsw_nb15,UNSW-NB15,ML,XGBoost,2,Dos,0.3076923076923077,0.16326530612244897,0.21333333333333335,343.0
unsw_nb15,UNSW-NB15,ML,XGBoost,3,Exploits,0.7573221757322176,0.8324572930354797,0.7931142410015649,1522.0
unsw_nb15,UNSW-NB15,ML,XGBoost,4,Fuzzers,0.8202653799758746,0.7024793388429752,0.756816917084029,968.0
unsw_nb15,UNSW-NB15,ML,XGBoost,5,Generic,0.9598811292719168,0.8837209302325582,0.9202279202279202,731.0
unsw_nb15,UNSW-NB15,ML,XGBoost,6,Normal,0.963010568409026,0.985674608975296,0.9742107924582821,6841.0
unsw_nb15,UNSW-NB15,ML,XGBoost,7,Reconnaissance,0.7944664031620553,0.7430683918669131,0.7679083094555874,541.0
unsw_nb15,UNSW-NB15,ML,XGBoost,8,Shellcode,0.5362318840579711,0.4868421052631579,0.5103448275862069,76.0
unsw_nb15,UNSW-NB15,ML,XGBoost,9,Worms,1.0,0.3333333333333333,0.5,9.0
